Latitude,Longitude,Elevation
47.52613000,-2.64822000,13.0
47.52631000,-2.64809000,12.0
47.52630000,-2.64807000,12.0
47.52628000,-2.64792000,12.0
47.52625000,-2.64791000,12.0
47.52623000,-2.64790000,12.0
47.52620000,-2.64785000,12.0
47.52615000,-2.64778000,12.0
47.52602000,-2.64773000,13.0
47.52600000,-2.64778000,13.0
47.52598000,-2.64781000,13.0
47.52596000,-2.64783000,13.0
47.52594000,-2.64784000,13.0
47.52592000,-2.64788000,13.0
47.52591000,-2.64789000,13.0
47.52590000,-2.64792000,13.0
47.52590000,-2.64794000,13.0
47.52590000,-2.64799000,13.0
47.52590000,-2.64801000,13.0
47.52591000,-2.64824000,14.0
47.52589000,-2.64833000,14.0
47.52589000,-2.64834000,14.0
47.52588000,-2.64839000,14.0
47.52587000,-2.64844000,14.0
47.52585000,-2.64856000,14.0
47.52583000,-2.64869000,14.0
47.52583000,-2.64882000,14.0
47.52583000,-2.64899000,15.0
47.52586000,-2.64930000,15.0
47.52589000,-2.64961000,15.0
47.52589000,-2.64975000,15.0
47.52588000,-2.64983000,15.0
47.52591000,-2.65026000,13.0
47.52593000,-2.65053000,13.0
47.52595000,-2.65074000,12.0
47.52596000,-2.65086000,12.0
47.52597000,-2.65089000,12.0
47.52599000,-2.65106000,12.0
47.52602000,-2.65125000,12.0
47.52605000,-2.65153000,12.0
47.52606000,-2.65165000,12.0
47.52608000,-2.65200000,12.0
47.52609000,-2.65214000,12.0
47.52615000,-2.65218000,13.0
47.52619000,-2.65223000,13.0
47.52622000,-2.65230000,13.0
47.52624000,-2.65239000,13.0
47.52624000,-2.65247000,13.0
47.52622000,-2.65255000,13.0
47.52626000,-2.65270000,13.0
47.52634000,-2.65293000,14.0
47.52645000,-2.65310000,14.0
47.52654000,-2.65329000,15.0
47.52660000,-2.65343000,15.0
47.52664000,-2.65362000,14.0
47.52668000,-2.65377000,14.0
47.52676000,-2.65421000,12.0
47.52683000,-2.65469000,13.0
47.52690000,-2.65514000,15.0
47.52699000,-2.65570000,15.0
47.52705000,-2.65603000,14.0
47.52713000,-2.65633000,13.0
47.52722000,-2.65669000,12.0
47.52731000,-2.65706000,11.0
47.52757000,-2.65808000,13.0
47.52768000,-2.65852000,12.0
47.52785000,-2.65924000,11.0
47.52797000,-2.65961000,12.0
47.52809000,-2.65997000,12.0
47.52826000,-2.66039000,13.0
47.52839000,-2.66075000,14.0
47.52848000,-2.66099000,14.0
47.52855000,-2.66115000,13.0
47.52877000,-2.66171000,12.0
47.52935000,-2.66324000,13.0
47.52980000,-2.66443000,12.0
47.53033000,-2.66576000,9.0
47.53092000,-2.66713000,6.0
47.53110000,-2.66755000,6.0
47.53128000,-2.66796000,8.0
47.53134000,-2.66808000,8.0
47.53142000,-2.66827000,9.0
47.53167000,-2.66900000,7.0
47.53189000,-2.66965000,8.0
47.53220000,-2.67056000,12.0
47.53245000,-2.67126000,14.0
47.53259000,-2.67163000,14.0
47.53275000,-2.67201000,15.0
47.53279000,-2.67198000,16.0
47.53286000,-2.67195000,16.0
47.53302000,-2.67193000,15.0
47.53312000,-2.67193000,15.0
47.53366000,-2.67192000,12.0
47.53408000,-2.67192000,10.0
47.53503000,-2.67215000,9.0
47.53530000,-2.67215000,8.0
47.53554000,-2.67208000,8.0
47.53840000,-2.67044000,10.0
47.53871000,-2.67031000,10.0
47.53910000,-2.67020000,10.0
47.53952000,-2.67019000,10.0
47.54000000,-2.67016000,9.0
47.54047000,-2.67010000,8.0
47.54092000,-2.67006000,6.0
47.54175000,-2.67020000,4.0
47.54241000,-2.67030000,3.0
47.54280000,-2.67036000,3.0
47.54287000,-2.67036000,3.0
47.54292000,-2.67036000,3.0
47.54300000,-2.67035000,3.0
47.54307000,-2.67032000,3.0
47.54329000,-2.67022000,3.0
47.54363000,-2.67004000,4.0
47.54370000,-2.66999000,4.0
47.54376000,-2.66994000,4.0
47.54382000,-2.66989000,4.0
47.54389000,-2.66981000,4.0
47.54393000,-2.66975000,3.0
47.54401000,-2.66965000,3.0
47.54410000,-2.66951000,2.0
47.54417000,-2.66942000,2.0
47.54431000,-2.66921000,2.0
47.54444000,-2.66901000,3.0
47.54482000,-2.66850000,5.0
47.54499000,-2.66826000,6.0
47.54513000,-2.66807000,5.0
47.54528000,-2.66789000,4.0
47.54538000,-2.66777000,4.0
