Latitude,Longitude,Elevation
48.44253000,2.613650000,95.0
48.44183000,2.612230000,98.0
48.44295000,2.612330000,90.0
48.44242000,2.609760000,89.0
48.44195000,2.608680000,89.0
48.44058000,2.608610000,99.0
48.43977000,2.608570000,100.0
48.43908000,2.608720000,97.0
48.43897000,2.608340000,97.0
48.43867000,2.608120000,96.0
48.43852000,2.607830000,97.0
48.43840000,2.607990000,97.0
48.43842000,2.608290000,98.0
48.43829000,2.608490000,99.0
48.43800000,2.608460000,101.0
48.43781000,2.608730000,101.0
48.43763000,2.608660000,101.0
48.43732000,2.609250000,105.0
48.43737000,2.609530000,106.0
48.43729000,2.610240000,114.0
48.43706000,2.610650000,115.0
48.43683000,2.610660000,115.0
48.43652000,2.610310000,118.0
48.43639000,2.610610000,121.0
48.43583000,2.610470000,130.0
48.43570000,2.610670000,132.0
48.43567000,2.611080000,133.0
48.43558000,2.611210000,135.0
48.43556000,2.611520000,135.0
48.43590000,2.611960000,131.0
48.43567000,2.612030000,132.0
48.43520000,2.611920000,131.0
48.43493000,2.612460000,128.0
48.43491000,2.612760000,128.0
48.43501000,2.613030000,129.0
48.43474000,2.613390000,128.0
48.43475000,2.613950000,127.0
48.43454000,2.614280000,127.0
48.43402000,2.616340000,131.0
48.43404000,2.616930000,130.0
48.43397000,2.617350000,131.0
48.43386000,2.617960000,132.0
48.43384000,2.618330000,132.0
48.43390000,2.618570000,130.0
48.43363000,2.619480000,134.0
48.43367000,2.619990000,132.0
48.43333000,2.621130000,131.0
48.43324000,2.621650000,132.0
48.43313000,2.622990000,129.0
48.43252000,2.623760000,130.0
48.43261000,2.624570000,129.0
48.43283000,2.625010000,126.0
48.43281000,2.625180000,127.0
48.43330000,2.625390000,115.0
48.43339000,2.626100000,112.0
48.43341000,2.627110000,102.0
48.43359000,2.627550000,101.0
48.43343000,2.628020000,103.0
48.43303000,2.628160000,107.0
48.43287000,2.628590000,109.0
48.43275000,2.629340000,108.0
48.43241000,2.630690000,114.0
48.43185000,2.631760000,123.0
48.43167000,2.632400000,129.0
48.43157000,2.633450000,137.0
48.43155000,2.634130000,136.0
48.43137000,2.634500000,137.0
48.43141000,2.635240000,137.0
48.43130000,2.635680000,137.0
48.43080000,2.636110000,138.0
48.43100000,2.636390000,136.0
48.43089000,2.637230000,134.0
48.43080000,2.637300000,134.0
48.43098000,2.637600000,132.0
48.43120000,2.637640000,130.0
48.43123000,2.638110000,127.0
48.43102000,2.638240000,130.0
48.43098000,2.638110000,132.0
48.43091000,2.638310000,133.0
48.43091000,2.638990000,129.0
48.43064000,2.639390000,132.0
48.43043000,2.640000000,133.0
48.43043000,2.640370000,134.0
48.43054000,2.640670000,134.0
48.43072000,2.640640000,131.0
48.43077000,2.641080000,132.0
48.43016000,2.641820000,135.0
48.42980000,2.642690000,133.0
48.42966000,2.643330000,134.0
48.42953000,2.643710000,132.0
48.42946000,2.644040000,129.0
