Latitude,Longitude,Elevation
36.70437000,-5.42289000,775.0
36.70443000,-5.42287000,775.0
36.70474000,-5.42274000,777.0
36.70504000,-5.42259000,776.0
36.70538000,-5.42275000,771.0
36.70590000,-5.42290000,769.0
36.70628000,-5.42311000,770.0
36.70677000,-5.42342000,769.0
36.70729000,-5.42352000,765.0
36.70757000,-5.42345000,761.0
36.70761000,-5.42346000,760.0
36.70764000,-5.42346000,760.0
36.70784000,-5.42346000,757.0
36.70807000,-5.42360000,749.0
36.70825000,-5.42339000,749.0
36.70832000,-5.42339000,748.0
36.70847000,-5.42343000,746.0
36.70884000,-5.42344000,745.0
36.70898000,-5.42339000,745.0
36.70906000,-5.42346000,743.0
36.70920000,-5.42340000,743.0
36.70927000,-5.42348000,742.0
36.70928000,-5.42362000,740.0
36.70948000,-5.42367000,741.0
36.70975000,-5.42383000,744.0
36.70983000,-5.42385000,746.0
36.70997000,-5.42390000,748.0
36.71014000,-5.42403000,748.0
36.71028000,-5.42423000,748.0
36.71032000,-5.42426000,749.0
36.71037000,-5.42430000,750.0
36.71054000,-5.42439000,752.0
36.71063000,-5.42455000,753.0
36.71078000,-5.42493000,753.0
36.71080000,-5.42499000,753.0
36.71080000,-5.42505000,752.0
36.71083000,-5.42511000,752.0
36.71104000,-5.42528000,753.0
36.71124000,-5.42552000,750.0
36.71148000,-5.42569000,746.0
36.71208000,-5.42581000,748.0
36.71236000,-5.42616000,751.0
36.71270000,-5.42658000,766.0
36.71304000,-5.42701000,782.0
36.71310000,-5.42733000,791.0
36.71325000,-5.42804000,807.0
36.71407000,-5.42846000,826.0
36.71455000,-5.42804000,829.0
36.71531000,-5.42752000,842.0
36.71579000,-5.42752000,844.0
36.71627000,-5.42752000,851.0
36.71710000,-5.42752000,855.0
36.71796000,-5.42771000,863.0
36.71827000,-5.42778000,866.0
36.71882000,-5.42778000,872.0
36.71984000,-5.42795000,877.0
36.72025000,-5.42801000,880.0
36.72074000,-5.42796000,881.0
36.72144000,-5.42821000,889.0
36.72177000,-5.42825000,888.0
36.72288000,-5.42838000,883.0
36.72356000,-5.42872000,882.0
