Latitude,Longitude,Elevation
40.72487000,-3.88764000,923.0
40.72485000,-3.88773000,923.0
40.72502000,-3.88785000,925.0
40.72514000,-3.88785000,926.0
40.72516000,-3.88794000,926.0
40.72522000,-3.88814000,928.0
40.72533000,-3.88842000,929.0
40.72542000,-3.88861000,929.0
40.72548000,-3.88873000,930.0
40.72574000,-3.88911000,930.0
40.72586000,-3.88927000,930.0
40.72594000,-3.88922000,931.0
40.72638000,-3.88985000,932.0
40.72666000,-3.89013000,937.0
40.72707000,-3.89037000,942.0
40.72723000,-3.89059000,945.0
40.72731000,-3.89063000,945.0
40.72749000,-3.89092000,945.0
40.72753000,-3.89098000,945.0
40.72783000,-3.89125000,946.0
40.72850000,-3.89224000,951.0
40.72856000,-3.89262000,953.0
40.72878000,-3.89282000,955.0
40.72889000,-3.89300000,957.0
40.72949000,-3.89456000,969.0
40.72957000,-3.89481000,969.0
40.72975000,-3.89537000,972.0
40.72987000,-3.89561000,974.0
40.73013000,-3.89576000,975.0
40.73108000,-3.89665000,989.0
40.73129000,-3.89660000,994.0
40.73137000,-3.89666000,996.0
40.73137000,-3.89719000,997.0
40.73131000,-3.89748000,998.0
40.73137000,-3.89755000,998.0
40.73145000,-3.89754000,1000.0
40.73148000,-3.89751000,1001.0
40.73152000,-3.89744000,1002.0
40.73164000,-3.89692000,1003.0
40.73166000,-3.89683000,1003.0
40.73168000,-3.89676000,1003.0
40.73172000,-3.89674000,1005.0
40.73176000,-3.89673000,1006.0
40.73180000,-3.89676000,1007.0
40.73180000,-3.89683000,1008.0
40.73180000,-3.89700000,1009.0
40.73183000,-3.89725000,1011.0
40.73192000,-3.89748000,1012.0
40.73200000,-3.89764000,1012.0
40.73215000,-3.89785000,1013.0
40.73221000,-3.89793000,1012.0
40.73234000,-3.89802000,1011.0
40.73246000,-3.89806000,1010.0
40.73266000,-3.89803000,1013.0
40.73283000,-3.89798000,1016.0
40.73298000,-3.89791000,1021.0
40.73312000,-3.89782000,1025.0
40.73319000,-3.89774000,1027.0
40.73332000,-3.89762000,1030.0
40.73358000,-3.89733000,1037.0
40.73394000,-3.89698000,1043.0
40.73407000,-3.89689000,1044.0
40.73423000,-3.89684000,1046.0
40.73458000,-3.89681000,1048.0
40.73503000,-3.89680000,1051.0
40.73510000,-3.89680000,1052.0
40.73516000,-3.89681000,1052.0
40.73536000,-3.89688000,1053.0
40.73553000,-3.89702000,1050.0
40.73567000,-3.89707000,1052.0
40.73591000,-3.89714000,1056.0
40.73592000,-3.89714000,1057.0
40.73658000,-3.89736000,1064.0
40.73666000,-3.89742000,1064.0
40.73674000,-3.89752000,1064.0
40.73677000,-3.89759000,1065.0
40.73688000,-3.89751000,1069.0
40.73710000,-3.89751000,1074.0
40.73729000,-3.89746000,1079.0
40.73750000,-3.89747000,1081.0
40.73758000,-3.89744000,1083.0
40.73770000,-3.89760000,1084.0
40.73774000,-3.89766000,1085.0
40.73782000,-3.89764000,1086.0
40.73808000,-3.89751000,1088.0
40.73826000,-3.89734000,1090.0
40.73839000,-3.89728000,1090.0
40.73846000,-3.89721000,1089.0
40.73849000,-3.89709000,1088.0
40.73855000,-3.89705000,1087.0
40.73874000,-3.89698000,1082.0
40.73889000,-3.89695000,1079.0
40.73937000,-3.89689000,1073.0
40.73969000,-3.89685000,1070.0
40.74013000,-3.89683000,1066.0
40.74024000,-3.89686000,1065.0
40.74034000,-3.89688000,1063.0
40.74042000,-3.89684000,1061.0
40.74040000,-3.89676000,1060.0
40.74034000,-3.89669000,1060.0
40.74025000,-3.89658000,1061.0
40.74019000,-3.89655000,1062.0
40.74019000,-3.89652000,1062.0
40.74016000,-3.89648000,1062.0
40.74012000,-3.89644000,1062.0
40.74014000,-3.89638000,1061.0
40.74020000,-3.89635000,1061.0
40.74039000,-3.89629000,1056.0
40.74046000,-3.89631000,1054.0
40.74052000,-3.89633000,1053.0
40.74068000,-3.89637000,1049.0
40.74078000,-3.89638000,1047.0
40.74083000,-3.89639000,1047.0
40.74090000,-3.89643000,1046.0
40.74095000,-3.89645000,1046.0
40.74101000,-3.89650000,1046.0
40.74105000,-3.89657000,1046.0
40.74111000,-3.89665000,1046.0
40.74115000,-3.89672000,1047.0
40.74120000,-3.89676000,1046.0
40.74132000,-3.89687000,1046.0
40.74141000,-3.89693000,1045.0
40.74150000,-3.89694000,1045.0
40.74165000,-3.89669000,1039.0
40.74172000,-3.89656000,1037.0
40.74172000,-3.89638000,1034.0
40.74179000,-3.89623000,1032.0
40.74198000,-3.89626000,1030.0
40.74224000,-3.89626000,1029.0
40.74237000,-3.89623000,1029.0
40.74254000,-3.89621000,1030.0
40.74253000,-3.89617000,1029.0
40.74312000,-3.89618000,1028.0
40.74375000,-3.89599000,1023.0
40.74401000,-3.89599000,1020.0
40.74415000,-3.89608000,1020.0
40.74417000,-3.89607000,1020.0
40.74435000,-3.89600000,1018.0
40.74444000,-3.89598000,1017.0
40.74451000,-3.89606000,1018.0
40.74461000,-3.89620000,1019.0
40.74468000,-3.89629000,1019.0
40.74476000,-3.89628000,1019.0
40.74483000,-3.89625000,1019.0
40.74505000,-3.89615000,1021.0
40.74547000,-3.89595000,1022.0
40.74582000,-3.89563000,1023.0
40.74609000,-3.89543000,1021.0
40.74645000,-3.89534000,1021.0
40.74682000,-3.89532000,1021.0
40.74703000,-3.89536000,1021.0
40.74719000,-3.89552000,1024.0
40.74762000,-3.89552000,1025.0
40.74788000,-3.89552000,1027.0
40.74803000,-3.89559000,1029.0
40.74845000,-3.89586000,1036.0
40.74868000,-3.89625000,1043.0
40.74885000,-3.89651000,1043.0
40.74885000,-3.89652000,1043.0
40.74906000,-3.89667000,1045.0
40.74926000,-3.89681000,1046.0
40.74945000,-3.89695000,1048.0
40.74952000,-3.89700000,1048.0
