Latitude,Longitude,Elevation
47.00014000,-2.24310000,9.0
47.00017000,-2.24310000,9.0
47.00020000,-2.24309000,9.0
47.00022000,-2.24308000,9.0
47.00018000,-2.24310000,9.0
47.00015000,-2.24311000,9.0
47.00011000,-2.24313000,9.0
47.00006000,-2.24314000,9.0
47.00001000,-2.24316000,9.0
46.99997000,-2.24317000,8.0
46.99992000,-2.24319000,8.0
46.99987000,-2.24321000,8.0
46.99983000,-2.24323000,8.0
46.99977000,-2.24326000,8.0
46.99972000,-2.24327000,7.0
46.99967000,-2.24329000,7.0
46.99963000,-2.24330000,7.0
46.99958000,-2.24332000,6.0
46.99955000,-2.24334000,6.0
46.99952000,-2.24336000,6.0
46.99948000,-2.24338000,6.0
46.99945000,-2.24340000,6.0
46.99941000,-2.24343000,5.0
46.99937000,-2.24345000,5.0
46.99933000,-2.24346000,5.0
46.99929000,-2.24347000,4.0
46.99926000,-2.24348000,4.0
46.99922000,-2.24349000,4.0
46.99920000,-2.24352000,4.0
46.99919000,-2.24357000,4.0
46.99918000,-2.24363000,4.0
46.99918000,-2.24370000,3.0
46.99919000,-2.24375000,3.0
46.99919000,-2.24381000,3.0
46.99921000,-2.24388000,3.0
46.99922000,-2.24395000,3.0
46.99923000,-2.24402000,3.0
46.99925000,-2.24409000,3.0
46.99927000,-2.24416000,3.0
46.99928000,-2.24424000,3.0
46.99930000,-2.24432000,3.0
46.99932000,-2.24440000,4.0
46.99934000,-2.24447000,4.0
46.99935000,-2.24455000,4.0
46.99937000,-2.24462000,4.0
46.99938000,-2.24469000,4.0
46.99939000,-2.24477000,4.0
46.99940000,-2.24486000,4.0
46.99940000,-2.24494000,4.0
46.99941000,-2.24503000,3.0
46.99942000,-2.24510000,3.0
46.99943000,-2.24519000,3.0
46.99944000,-2.24526000,3.0
46.99945000,-2.24534000,4.0
46.99947000,-2.24544000,4.0
46.99948000,-2.24551000,4.0
46.99950000,-2.24559000,5.0
46.99952000,-2.24567000,5.0
46.99953000,-2.24575000,5.0
46.99954000,-2.24583000,5.0
46.99956000,-2.24592000,5.0
46.99957000,-2.24600000,5.0
46.99958000,-2.24608000,5.0
46.99959000,-2.24616000,5.0
46.99960000,-2.24624000,4.0
46.99961000,-2.24631000,4.0
46.99963000,-2.24640000,4.0
46.99964000,-2.24648000,4.0
46.99965000,-2.24656000,4.0
46.99966000,-2.24664000,4.0
46.99968000,-2.24671000,4.0
46.99969000,-2.24678000,4.0
46.99970000,-2.24686000,4.0
46.99971000,-2.24694000,4.0
46.99972000,-2.24702000,4.0
46.99974000,-2.24710000,4.0
46.99975000,-2.24718000,4.0
46.99976000,-2.24727000,4.0
46.99977000,-2.24735000,4.0
46.99978000,-2.24743000,4.0
46.99979000,-2.24752000,4.0
46.99979000,-2.24760000,4.0
46.99980000,-2.24768000,4.0
46.99979000,-2.24776000,4.0
46.99979000,-2.24783000,4.0
46.99978000,-2.24789000,4.0
46.99973000,-2.24793000,4.0
46.99968000,-2.24795000,3.0
46.99964000,-2.24797000,3.0
46.99958000,-2.24798000,3.0
46.99953000,-2.24800000,3.0
46.99949000,-2.24802000,3.0
46.99944000,-2.24804000,3.0
46.99938000,-2.24806000,2.0
46.99933000,-2.24808000,2.0
46.99927000,-2.24810000,2.0
46.99922000,-2.24813000,2.0
46.99916000,-2.24814000,2.0
46.99910000,-2.24816000,2.0
46.99904000,-2.24817000,2.0
46.99898000,-2.24818000,2.0
46.99891000,-2.24819000,2.0
46.99884000,-2.24819000,2.0
46.99878000,-2.24819000,2.0
46.99871000,-2.24819000,2.0
46.99865000,-2.24819000,2.0
46.99858000,-2.24817000,3.0
46.99852000,-2.24816000,3.0
46.99846000,-2.24815000,3.0
46.99839000,-2.24813000,3.0
46.99832000,-2.24812000,3.0
46.99826000,-2.24811000,3.0
46.99820000,-2.24811000,3.0
46.99813000,-2.24811000,3.0
46.99806000,-2.24812000,3.0
46.99800000,-2.24814000,3.0
46.99794000,-2.24818000,3.0
46.99787000,-2.24822000,3.0
46.99781000,-2.24822000,3.0
46.99776000,-2.24822000,3.0
46.99770000,-2.24822000,3.0
46.99764000,-2.24819000,3.0
46.99758000,-2.24815000,3.0
46.99753000,-2.24810000,3.0
46.99747000,-2.24806000,3.0
46.99741000,-2.24803000,3.0
46.99735000,-2.24801000,3.0
46.99728000,-2.24800000,3.0
46.99722000,-2.24799000,3.0
46.99715000,-2.24798000,3.0
46.99709000,-2.24797000,3.0
46.99702000,-2.24795000,3.0
46.99695000,-2.24794000,3.0
46.99688000,-2.24792000,2.0
46.99682000,-2.24791000,2.0
46.99675000,-2.24789000,2.0
46.99669000,-2.24788000,2.0
46.99661000,-2.24786000,2.0
46.99655000,-2.24785000,2.0
46.99648000,-2.24784000,2.0
46.99641000,-2.24782000,2.0
46.99634000,-2.24781000,2.0
46.99627000,-2.24779000,2.0
46.99620000,-2.24778000,2.0
46.99612000,-2.24776000,2.0
46.99605000,-2.24774000,2.0
46.99597000,-2.24773000,2.0
46.99590000,-2.24772000,2.0
46.99582000,-2.24770000,3.0
46.99575000,-2.24769000,3.0
46.99568000,-2.24768000,3.0
46.99561000,-2.24766000,3.0
46.99553000,-2.24765000,3.0
46.99546000,-2.24763000,3.0
46.99538000,-2.24761000,3.0
46.99531000,-2.24759000,3.0
46.99524000,-2.24758000,3.0
46.99516000,-2.24756000,3.0
46.99509000,-2.24755000,3.0
46.99502000,-2.24754000,3.0
46.99494000,-2.24753000,2.0
46.99487000,-2.24752000,2.0
46.99480000,-2.24750000,2.0
46.99472000,-2.24749000,1.0
46.99465000,-2.24748000,1.0
46.99458000,-2.24746000,1.0
46.99451000,-2.24745000,1.0
46.99444000,-2.24743000,1.0
46.99437000,-2.24742000,1.0
46.99430000,-2.24741000,1.0
46.99423000,-2.24739000,1.0
46.99416000,-2.24738000,2.0
46.99410000,-2.24737000,2.0
46.99403000,-2.24736000,2.0
46.99396000,-2.24736000,2.0
46.99390000,-2.24736000,2.0
46.99383000,-2.24738000,3.0
46.99377000,-2.24740000,3.0
46.99372000,-2.24742000,3.0
46.99367000,-2.24746000,3.0
46.99363000,-2.24752000,3.0
46.99361000,-2.24760000,3.0
46.99359000,-2.24769000,3.0
46.99358000,-2.24778000,2.0
46.99357000,-2.24787000,2.0
46.99356000,-2.24797000,2.0
46.99355000,-2.24806000,1.0
46.99354000,-2.24815000,1.0
46.99353000,-2.24824000,1.0
46.99352000,-2.24833000,1.0
46.99351000,-2.24843000,1.0
46.99351000,-2.24853000,2.0
46.99350000,-2.24862000,2.0
46.99349000,-2.24871000,2.0
46.99348000,-2.24881000,2.0
46.99347000,-2.24891000,2.0
46.99346000,-2.24900000,2.0
46.99345000,-2.24910000,3.0
46.99343000,-2.24919000,3.0
46.99340000,-2.24928000,3.0
46.99337000,-2.24937000,3.0
46.99333000,-2.24945000,3.0
46.99329000,-2.24953000,3.0
46.99324000,-2.24961000,3.0
46.99319000,-2.24968000,3.0
46.99315000,-2.24973000,3.0
46.99312000,-2.24978000,3.0
46.99308000,-2.24982000,3.0
46.99303000,-2.24985000,3.0
46.99298000,-2.24987000,3.0
46.99292000,-2.24988000,3.0
46.99287000,-2.24990000,3.0
46.99284000,-2.24992000,3.0
46.99281000,-2.24995000,3.0
46.99277000,-2.24997000,2.0
46.99272000,-2.24998000,2.0
46.99268000,-2.25000000,2.0
46.99263000,-2.25000000,2.0
46.99258000,-2.25001000,2.0
46.99254000,-2.25001000,2.0
46.99248000,-2.25002000,1.0
46.99242000,-2.25002000,1.0
46.99237000,-2.25003000,1.0
46.99232000,-2.25003000,1.0
46.99227000,-2.25003000,1.0
46.99222000,-2.25002000,1.0
46.99216000,-2.25002000,2.0
46.99211000,-2.25001000,2.0
46.99205000,-2.25000000,2.0
46.99200000,-2.24999000,2.0
46.99193000,-2.24998000,3.0
46.99188000,-2.24998000,2.0
46.99185000,-2.25007000,2.0
46.99182000,-2.25011000,2.0
46.99178000,-2.25014000,1.0
46.99174000,-2.25021000,1.0
46.99170000,-2.25024000,1.0
46.99166000,-2.25027000,2.0
46.99161000,-2.25030000,2.0
46.99157000,-2.25035000,2.0
46.99153000,-2.25039000,2.0
46.99149000,-2.25043000,2.0
46.99145000,-2.25047000,2.0
46.99141000,-2.25051000,2.0
46.99137000,-2.25054000,2.0
46.99133000,-2.25058000,1.0
46.99130000,-2.25062000,1.0
46.99126000,-2.25066000,1.0
46.99123000,-2.25069000,1.0
46.99120000,-2.25073000,1.0
46.99117000,-2.25076000,1.0
46.99114000,-2.25079000,1.0
46.99111000,-2.25082000,1.0
46.99108000,-2.25085000,0.0
46.99105000,-2.25088000,0.0
46.99102000,-2.25091000,0.0
46.99098000,-2.25094000,0.0
46.99095000,-2.25097000,0.0
46.99092000,-2.25100000,0.0
46.99089000,-2.25104000,0.0
46.99085000,-2.25107000,0.0
46.99082000,-2.25110000,0.0
46.99079000,-2.25114000,0.0
46.99075000,-2.25118000,0.0
46.99072000,-2.25121000,0.0
46.99070000,-2.25123000,0.0
46.99067000,-2.25125000,0.0
46.99064000,-2.25128000,0.0
46.99061000,-2.25133000,0.0
46.99058000,-2.25139000,0.0
46.99055000,-2.25145000,1.0
46.99053000,-2.25148000,1.0
46.99049000,-2.25148000,1.0
46.99047000,-2.25145000,1.0
46.99046000,-2.25138000,1.0
46.99046000,-2.25133000,1.0
46.99047000,-2.25126000,1.0
46.99044000,-2.25127000,1.0
46.99045000,-2.25121000,2.0
46.99046000,-2.25116000,2.0
46.99046000,-2.25110000,2.0
46.99045000,-2.25106000,2.0
46.99045000,-2.25101000,2.0
46.99043000,-2.25096000,2.0
46.99041000,-2.25092000,2.0
46.99039000,-2.25086000,2.0
46.99037000,-2.25081000,1.0
46.99034000,-2.25076000,1.0
46.99030000,-2.25071000,1.0
46.99027000,-2.25065000,1.0
46.99024000,-2.25058000,1.0
46.99021000,-2.25052000,0.0
46.99018000,-2.25045000,0.0
46.99014000,-2.25038000,0.0
46.99011000,-2.25032000,-1.0
46.99007000,-2.25025000,-1.0
46.99004000,-2.25018000,-1.0
46.99000000,-2.25011000,-1.0
46.98996000,-2.25004000,-1.0
46.98993000,-2.24996000,0.0
46.98989000,-2.24989000,0.0
46.98985000,-2.24981000,0.0
46.98981000,-2.24974000,0.0
46.98978000,-2.24967000,0.0
46.98974000,-2.24959000,0.0
46.98970000,-2.24952000,0.0
46.98967000,-2.24944000,1.0
46.98963000,-2.24937000,1.0
46.98959000,-2.24929000,1.0
46.98955000,-2.24922000,1.0
46.98951000,-2.24915000,2.0
46.98947000,-2.24907000,2.0
46.98944000,-2.24900000,2.0
46.98940000,-2.24892000,2.0
46.98935000,-2.24886000,1.0
46.98930000,-2.24883000,1.0
46.98924000,-2.24882000,1.0
46.98918000,-2.24881000,1.0
46.98911000,-2.24881000,1.0
46.98905000,-2.24882000,1.0
46.98898000,-2.24885000,1.0
46.98892000,-2.24889000,1.0
46.98887000,-2.24894000,1.0
46.98881000,-2.24899000,1.0
46.98876000,-2.24905000,2.0
46.98871000,-2.24910000,2.0
46.98865000,-2.24916000,2.0
46.98860000,-2.24921000,3.0
46.98854000,-2.24925000,3.0
46.98849000,-2.24930000,3.0
46.98843000,-2.24934000,3.0
46.98837000,-2.24938000,3.0
46.98831000,-2.24942000,2.0
46.98825000,-2.24946000,2.0
46.98818000,-2.24950000,1.0
46.98812000,-2.24954000,1.0
46.98805000,-2.24957000,1.0
46.98798000,-2.24960000,1.0
46.98792000,-2.24963000,1.0
46.98785000,-2.24965000,1.0
46.98778000,-2.24967000,1.0
46.98771000,-2.24969000,1.0
46.98764000,-2.24970000,1.0
46.98757000,-2.24971000,1.0
46.98750000,-2.24972000,2.0
46.98743000,-2.24972000,2.0
46.98735000,-2.24972000,2.0
46.98728000,-2.24972000,2.0
46.98720000,-2.24971000,2.0
46.98713000,-2.24970000,2.0
46.98706000,-2.24969000,2.0
46.98699000,-2.24967000,2.0
46.98691000,-2.24965000,2.0
46.98684000,-2.24963000,2.0
46.98677000,-2.24961000,2.0
46.98669000,-2.24958000,2.0
46.98662000,-2.24955000,2.0
46.98655000,-2.24951000,2.0
46.98648000,-2.24947000,2.0
46.98641000,-2.24943000,2.0
46.98634000,-2.24939000,2.0
46.98627000,-2.24934000,2.0
46.98621000,-2.24929000,2.0
46.98614000,-2.24923000,2.0
46.98607000,-2.24917000,3.0
46.98601000,-2.24911000,3.0
46.98594000,-2.24905000,3.0
46.98588000,-2.24899000,3.0
46.98583000,-2.24891000,2.0
46.98578000,-2.24884000,2.0
46.98572000,-2.24878000,2.0
46.98566000,-2.24871000,1.0
46.98561000,-2.24863000,1.0
46.98556000,-2.24856000,1.0
46.98551000,-2.24849000,1.0
46.98545000,-2.24841000,1.0
46.98540000,-2.24833000,0.0
46.98534000,-2.24826000,0.0
46.98529000,-2.24818000,0.0
46.98524000,-2.24811000,0.0
46.98519000,-2.24804000,0.0
46.98514000,-2.24798000,0.0
46.98509000,-2.24791000,0.0
46.98504000,-2.24784000,0.0
46.98499000,-2.24777000,-1.0
46.98494000,-2.24770000,-1.0
46.98489000,-2.24763000,-1.0
46.98484000,-2.24755000,-1.0
46.98479000,-2.24748000,0.0
46.98474000,-2.24741000,0.0
46.98469000,-2.24734000,0.0
46.98464000,-2.24727000,0.0
46.98459000,-2.24719000,1.0
46.98454000,-2.24712000,1.0
46.98449000,-2.24706000,1.0
46.98444000,-2.24700000,1.0
46.98439000,-2.24695000,1.0
46.98434000,-2.24690000,2.0
46.98428000,-2.24686000,2.0
46.98422000,-2.24683000,2.0
46.98417000,-2.24680000,2.0
46.98413000,-2.24677000,2.0
46.98409000,-2.24675000,2.0
46.98406000,-2.24673000,2.0
46.98403000,-2.24671000,2.0
46.98400000,-2.24669000,2.0
46.98398000,-2.24667000,2.0
46.98395000,-2.24664000,3.0
46.98392000,-2.24660000,3.0
46.98389000,-2.24655000,3.0
46.98385000,-2.24652000,3.0
46.98380000,-2.24649000,3.0
46.98374000,-2.24646000,3.0
46.98369000,-2.24643000,3.0
46.98363000,-2.24639000,3.0
46.98358000,-2.24635000,2.0
46.98353000,-2.24631000,2.0
46.98347000,-2.24626000,2.0
46.98341000,-2.24621000,1.0
46.98335000,-2.24616000,1.0
46.98328000,-2.24611000,1.0
46.98322000,-2.24607000,1.0
46.98315000,-2.24603000,1.0
46.98308000,-2.24599000,1.0
46.98301000,-2.24596000,2.0
46.98294000,-2.24594000,2.0
46.98286000,-2.24593000,2.0
46.98279000,-2.24593000,2.0
46.98271000,-2.24593000,2.0
46.98264000,-2.24594000,1.0
46.98257000,-2.24596000,1.0
46.98250000,-2.24599000,1.0
46.98243000,-2.24603000,1.0
46.98236000,-2.24607000,1.0
46.98231000,-2.24613000,1.0
46.98226000,-2.24619000,1.0
46.98221000,-2.24625000,1.0
46.98216000,-2.24631000,1.0
46.98211000,-2.24637000,1.0
46.98206000,-2.24643000,1.0
46.98201000,-2.24649000,1.0
46.98196000,-2.24654000,1.0
46.98191000,-2.24660000,2.0
46.98185000,-2.24665000,2.0
46.98179000,-2.24669000,1.0
46.98173000,-2.24672000,1.0
46.98167000,-2.24674000,1.0
46.98161000,-2.24675000,1.0
46.98154000,-2.24676000,1.0
46.98148000,-2.24675000,1.0
46.98140000,-2.24675000,1.0
46.98134000,-2.24672000,2.0
46.98127000,-2.24669000,2.0
46.98121000,-2.24664000,2.0
46.98115000,-2.24658000,2.0
46.98110000,-2.24651000,2.0
46.98105000,-2.24644000,2.0
46.98100000,-2.24636000,3.0
46.98095000,-2.24628000,3.0
46.98090000,-2.24620000,3.0
46.98086000,-2.24612000,3.0
46.98081000,-2.24604000,3.0
46.98076000,-2.24597000,3.0
46.98072000,-2.24589000,3.0
46.98067000,-2.24581000,2.0
46.98062000,-2.24574000,2.0
46.98058000,-2.24566000,2.0
46.98053000,-2.24558000,1.0
46.98048000,-2.24549000,1.0
46.98044000,-2.24541000,1.0
46.98039000,-2.24533000,1.0
46.98034000,-2.24526000,1.0
46.98030000,-2.24518000,1.0
46.98025000,-2.24510000,1.0
46.98020000,-2.24502000,1.0
46.98015000,-2.24494000,1.0
46.98010000,-2.24486000,1.0
46.98005000,-2.24478000,1.0
46.98000000,-2.24471000,1.0
46.97996000,-2.24463000,1.0
46.97991000,-2.24455000,1.0
46.97987000,-2.24448000,1.0
46.97982000,-2.24440000,1.0
46.97977000,-2.24432000,1.0
46.97973000,-2.24425000,1.0
46.97969000,-2.24417000,1.0
46.97964000,-2.24410000,1.0
46.97959000,-2.24402000,1.0
46.97955000,-2.24395000,1.0
46.97950000,-2.24388000,1.0
46.97945000,-2.24380000,1.0
46.97940000,-2.24373000,2.0
46.97935000,-2.24367000,2.0
46.97929000,-2.24361000,2.0
46.97924000,-2.24355000,2.0
46.97918000,-2.24350000,3.0
46.97912000,-2.24345000,3.0
46.97906000,-2.24340000,3.0
46.97899000,-2.24335000,3.0
46.97893000,-2.24331000,3.0
46.97887000,-2.24326000,3.0
46.97881000,-2.24322000,3.0
46.97874000,-2.24318000,3.0
46.97868000,-2.24314000,3.0
46.97861000,-2.24310000,3.0
46.97855000,-2.24306000,3.0
46.97849000,-2.24302000,3.0
46.97842000,-2.24297000,3.0
46.97836000,-2.24293000,3.0
46.97829000,-2.24289000,3.0
46.97823000,-2.24285000,2.0
46.97816000,-2.24281000,2.0
46.97810000,-2.24276000,2.0
46.97803000,-2.24272000,2.0
46.97797000,-2.24268000,2.0
46.97790000,-2.24264000,2.0
46.97784000,-2.24260000,2.0
46.97778000,-2.24255000,2.0
46.97771000,-2.24250000,2.0
46.97765000,-2.24246000,2.0
46.97758000,-2.24242000,2.0
46.97752000,-2.24238000,2.0
46.97745000,-2.24234000,2.0
46.97738000,-2.24230000,2.0
46.97732000,-2.24225000,2.0
46.97725000,-2.24221000,2.0
46.97719000,-2.24217000,2.0
46.97712000,-2.24212000,2.0
46.97705000,-2.24208000,2.0
46.97699000,-2.24204000,2.0
46.97693000,-2.24200000,2.0
46.97686000,-2.24196000,2.0
46.97679000,-2.24192000,2.0
46.97673000,-2.24188000,2.0
46.97667000,-2.24185000,2.0
46.97660000,-2.24182000,2.0
46.97653000,-2.24179000,1.0
46.97646000,-2.24178000,1.0
46.97640000,-2.24176000,1.0
46.97633000,-2.24175000,1.0
46.97627000,-2.24173000,1.0
46.97621000,-2.24171000,1.0
46.97616000,-2.24168000,1.0
46.97612000,-2.24164000,1.0
46.97606000,-2.24159000,1.0
46.97601000,-2.24156000,1.0
46.97595000,-2.24152000,1.0
46.97590000,-2.24147000,1.0
46.97585000,-2.24142000,1.0
46.97580000,-2.24137000,2.0
46.97575000,-2.24131000,2.0
46.97570000,-2.24127000,2.0
