Latitude,Longitude,Elevation
40.78899000,-4.00288000,1861.0
40.78899000,-4.00289000,1861.0
40.78893000,-4.00289000,1861.0
40.78888000,-4.00289000,1861.0
40.78884000,-4.00288000,1862.0
40.78879000,-4.00288000,1862.0
40.78874000,-4.00291000,1862.0
40.78871000,-4.00296000,1862.0
40.78866000,-4.00300000,1863.0
40.78863000,-4.00305000,1862.0
40.78860000,-4.00310000,1862.0
40.78856000,-4.00315000,1862.0
40.78853000,-4.00321000,1862.0
40.78850000,-4.00326000,1861.0
40.78846000,-4.00329000,1861.0
40.78843000,-4.00334000,1861.0
40.78843000,-4.00342000,1861.0
40.78844000,-4.00348000,1860.0
40.78846000,-4.00353000,1860.0
40.78848000,-4.00359000,1860.0
40.78851000,-4.00364000,1860.0
40.78853000,-4.00371000,1861.0
40.78856000,-4.00377000,1862.0
40.78859000,-4.00381000,1863.0
40.78862000,-4.00386000,1863.0
40.78864000,-4.00392000,1864.0
40.78869000,-4.00398000,1866.0
40.78872000,-4.00403000,1867.0
40.78875000,-4.00408000,1867.0
40.78878000,-4.00412000,1868.0
40.78882000,-4.00417000,1869.0
40.78884000,-4.00422000,1869.0
40.78888000,-4.00427000,1870.0
40.78890000,-4.00432000,1870.0
40.78894000,-4.00436000,1870.0
40.78897000,-4.00441000,1870.0
40.78900000,-4.00446000,1870.0
40.78902000,-4.00452000,1870.0
40.78904000,-4.00458000,1871.0
40.78907000,-4.00464000,1871.0
40.78908000,-4.00470000,1872.0
40.78910000,-4.00473000,1872.0
40.78927000,-4.00517000,1877.0
40.78927000,-4.00524000,1879.0
40.78931000,-4.00530000,1879.0
40.78934000,-4.00534000,1879.0
40.78937000,-4.00540000,1879.0
40.78940000,-4.00547000,1878.0
40.78944000,-4.00555000,1878.0
40.78947000,-4.00562000,1877.0
40.78948000,-4.00571000,1878.0
40.78950000,-4.00578000,1878.0
40.78953000,-4.00584000,1878.0
40.78955000,-4.00590000,1879.0
40.78958000,-4.00596000,1880.0
